date,started,ended
1-Feb-15,106,188
1-Jan-15,99,84
1-Dec-14,101,133
1-Nov-14,162,155
1-Oct-14,158,120
1-Sep-14,119,114
1-Aug-14,108,108
1-Jul-14,119,114
1-Jun-14,145,126
1-May-14,100,104
1-Apr-14,101,107
1-Mar-14,112,104
1-Feb-14,94,85
1-Jan-14,71,60
1-Dec-13,91,114
1-Nov-13,112,111
1-Oct-13,97,84
1-Sep-13,82,83
1-Aug-13,77,87
1-Jul-13,120,117
1-Jun-13,83,75
1-May-13,80,76
1-Apr-13,66,61
1-Mar-13,69,64
1-Feb-13,62,70
1-Jan-13,45,32
1-Dec-12,53,57
1-Nov-12,72,80
1-Oct-12,71,57
1-Sep-12,51,50
1-Aug-12,56,47
1-Jul-12,58,59
1-Jun-12,51,53
1-May-12,45,39
1-Apr-12,37,50
1-Mar-12,62,51
1-Feb-12,49,46
1-Jan-12,34,33
